# IPTV 直播源汇总
# 更新时间: 2026-02-26 09:03:57（北京时间）
# 有效源总数: 1659

更新时间,#genre#
2026-02-26 09:03:57,http://logo.mp4

央视频道,#genre#
东方卫视,http://123.112.240.132:5555/rtp/239.3.1.136:8032$北京市联通(242ms)
深圳卫视,http://144.0.57.58:7004/rtp/239.21.1.93:5002$山东电信(258ms)
深圳卫视,http://171.113.174.156:8686/rtp/239.254.96.137:8896$湖北电信(248ms)
深圳卫视,http://27.17.212.242:8888/rtp/239.254.96.137:8896$湖北电信(253ms)
深圳卫视,http://123.112.240.132:5555/rtp/239.3.1.134:8020$北京市联通(242ms)
北京卫视,http://144.0.57.58:7004/rtp/239.21.1.88:5002$山东电信(258ms)
北京卫视,http://171.113.174.156:8686/rtp/239.254.96.141:8920$湖北电信(248ms)
北京卫视,http://27.17.212.242:8888/rtp/239.254.96.141:8920$湖北电信(253ms)
北京卫视,http://123.112.240.132:5555/rtp/239.3.1.241:8000$北京市联通(242ms)
广东卫视,http://144.0.57.58:7004/rtp/239.21.1.92:5002$山东电信(258ms)
广东卫视,http://171.113.174.156:8686/rtp/239.254.96.140:8914$湖北电信(248ms)
广东卫视,http://27.17.212.242:8888/rtp/239.254.96.140:8914$湖北电信(253ms)
广东卫视,http://123.112.240.132:5555/rtp/239.3.1.142:8048$北京市联通(242ms)
广西卫视,http://171.113.174.156:8686/rtp/239.69.1.191:10788$湖北电信(248ms)
广西卫视,http://27.17.212.242:8888/rtp/239.69.1.191:10788$湖北电信(253ms)
广西卫视,http://49.71.69.165:4000/rtp/239.49.8.10:8000$江苏电信(252ms)
广西卫视,http://27.18.30.81:8888/rtp/239.69.1.191:10788$湖北电信(237ms)
东南卫视,http://144.0.57.58:7004/rtp/239.21.1.113:5002$山东电信(258ms)
东南卫视,http://171.113.174.156:8686/rtp/239.69.1.108:10286$湖北电信(248ms)
东南卫视,http://27.17.212.242:8888/rtp/239.69.1.108:10286$湖北电信(253ms)
东南卫视,http://123.112.240.132:5555/rtp/239.3.1.156:8148$北京市联通(242ms)
海南卫视,http://144.0.57.58:7004/rtp/239.21.2.14:5002$山东电信(258ms)
海南卫视,http://171.113.174.156:8686/rtp/239.69.1.151:10542$湖北电信(248ms)
海南卫视,http://27.17.212.242:8888/rtp/239.69.1.151:10542$湖北电信(253ms)
海南卫视,http://49.71.69.165:4000/rtp/239.49.8.83:8000$江苏电信(252ms)
河北卫视,http://144.0.57.58:7004/rtp/239.21.1.168:5002$山东电信(258ms)
河北卫视,http://171.113.174.156:8686/rtp/239.254.96.113:9616$湖北电信(248ms)
河北卫视,http://27.17.212.242:8888/rtp/239.254.96.113:9616$湖北电信(253ms)
河北卫视,http://123.112.240.132:5555/rtp/239.3.1.148:8072$北京市联通(242ms)
河南卫视,http://144.0.57.58:7004/rtp/239.21.2.37:5002$山东电信(258ms)
河南卫视,http://171.113.174.156:8686/rtp/239.69.1.168:10644$湖北电信(248ms)
河南卫视,http://27.17.212.242:8888/rtp/239.69.1.168:10644$湖北电信(253ms)
河南卫视,http://123.112.240.132:5555/rtp/239.3.1.50:8184$北京市联通(242ms)
湖北卫视,http://144.0.57.58:7004/rtp/239.21.1.163:5002$山东电信(258ms)
湖北卫视,http://171.113.174.156:8686/rtp/239.254.96.115:8664$湖北电信(248ms)
湖北卫视,http://27.17.212.242:8888/rtp/239.254.96.115:8664$湖北电信(253ms)
湖北卫视,http://123.112.240.132:5555/rtp/239.3.1.138:8044$北京市联通(242ms)
江西卫视,http://144.0.57.58:7004/rtp/239.21.1.167:5002$山东电信(258ms)
江西卫视,http://171.113.174.156:8686/rtp/239.69.1.126:10394$湖北电信(248ms)
江西卫视,http://27.17.212.242:8888/rtp/239.69.1.126:10394$湖北电信(253ms)
江西卫视,http://123.112.240.132:5555/rtp/239.3.1.123:8164$北京市联通(242ms)
四川卫视,http://144.0.57.58:7004/rtp/239.21.2.15:5002$山东电信(258ms)
四川卫视,http://171.113.174.156:8686/rtp/239.69.1.169:10650$湖北电信(248ms)
四川卫视,http://27.17.212.242:8888/rtp/239.69.1.169:10650$湖北电信(253ms)
四川卫视,http://123.112.240.132:5555/rtp/239.3.1.131:3001$北京市联通(242ms)
重庆卫视,http://144.0.57.58:7004/rtp/239.21.1.233:5002$山东电信(258ms)
重庆卫视,http://171.113.174.156:8686/rtp/239.69.1.149:10530$湖北电信(248ms)
重庆卫视,http://27.17.212.242:8888/rtp/239.69.1.149:10530$湖北电信(253ms)
重庆卫视,http://123.112.240.132:5555/rtp/239.3.1.122:8160$北京市联通(242ms)
贵州卫视,http://144.0.57.58:7004/rtp/239.21.1.166:5002$山东电信(258ms)
